,percent_missing
id,0.0
breed_name,0.0
detailed_description_link,0.0
dog_size,0.0
dog_breed_group,0.0
height_text,0.0
avg_height_cm,0.0
weight_text,0.0
avg_weight_kg,0.0
life_span_text,0.0
avg_life_span_years,0.0
adaptability,0.0
adapts_well_to_apartment_living,0.0
good_for_novice_owners,0.0
sensitivity_level,0.0
tolerates_being_alone,0.0
tolerates_cold_weather,0.0
tolerates_hot_weather,0.0
all_around_friendliness,0.0
affectionate_with_family,0.0
kid_friendly,0.0
dog_friendly,0.0
friendly_toward_strangers,0.0
health_and_grooming_needs,0.0
amount_of_shedding,0.0
drooling_potential,0.0
easy_to_groom,0.0
general_health,0.0
potential_for_weight_gain,0.0
size_score,0.0
trainability,0.0
easy_to_train,0.0
intelligence,0.0
potential_for_mouthiness,0.0
prey_drive,0.0
tendency_to_bark_or_howl,0.0
wanderlust_potential,0.0
physical_needs,0.0
energy_level,0.0
intensity,0.0
exercise_needs,0.0
potential_for_playfulness,0.0
